country,date,time precision,type of violence,actor 1,associated actor 1,inter 1,actor 2,associated actor 2,inter 2,interaction,administrative Area 1,administrative Area 2,administrative Area 3,location,latitude,longtitude,notes,sources,fatalities
Yemen,2018-12-01,1,Strategic development,Unidentified Armed Group (Yemen),,3,Civilians (International),CARE International (International),7,,,,,,,,,,
Yemen,2018-12-01,1,Battle-Government regains territory,Military Forces of Yemen (2012-),Militia (Pro-Government); Operation Restoring Hope,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,,,,,,,,
Yemen,2018-12-01,1,Remote violence,Islamic State (Yemen),,2,AQAP: Al Qaeda in the Arabian Peninsula,,2,,,,,,,,,,
Yemen,2018-12-01,1,Remote violence,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-12-01,1,Strategic development,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),,1,,,,,,,,,,
Yemen,2018-12-01,1,Remote violence,Operation Restoring Hope,,8,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,National Resistance Forces,Giants Brigade,3,Civilians (Yemen),Labour Group (Yemen),7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,National Resistance Forces,Giants Brigade,3,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,,8,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Violence against civilians,National Resistance Forces,Giants Brigade,3,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Violence against civilians,Military Forces of Yemen (2016-) Supreme Political Council,,1,Civilians (Yemen),Former Government of Yemen (2012-),7,,,,,,,,,,
Yemen,2018-11-30,1,Violence against civilians,Unidentified Armed Group (Yemen),,3,Civilians (Yemen),,7,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,,8,,,0,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,,8,,,0,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,,8,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,,,0,,,,,,,,,,
Yemen,2018-11-30,1,Remote violence,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,,,0,,,,,,,,,,
